municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Hillsborough,36,"waste management, stormwater, and infrastructure","['water', 'reservoir', 'eno', 'river', 'plant', 'chlorine', 'treatment', 'fork', 'bacteria', 'source']",,"['Customers', 'residents and businesses', 'property owners next to the treated section of river', 'humans, fish and wildlife']","This topic covers Hillsborough's drinking water supply from the Eno River, including the Water Treatment Plant, the West Fork Eno Reservoir (Phase 1 operational in 2000, Phase 2 completed in 2021), emergency water connections with neighboring utilities, history of addressing water shortages, invasive plant (Hydrilla) treatment, water quality testing (over 150 substances), detailed water treatment process, annual chlorine disinfection, water system flushing, water line break responsibilities, and management of black/pink residue and stale water.",3
Hillsborough,37,"town governance, human resources, and board appointments","['content', 'media', 'social', 'comments', 'sites', 'links', 'official', 'communication', 'statement', 'disclaimer']",,"['community members and visitors', 'public', 'authors of comments']","This topic outlines the Town of Hillsborough's social media policy, emphasizing that sites are moderated and subject to public records laws. It details acceptable and unacceptable content (e.g., related to town-sponsored activities, no profane language, no discrimination, no political campaigns, no solicitations). It also includes disclaimer statements regarding official communications, endorsements of ads, and the inability to answer questions or emergency requests via social media.",3
Hillsborough,38,"waste management, stormwater, and infrastructure","['wastewater', 'lake', 'falls', 'treatment', 'river', 'rules', 'sewer', 'plant', 'nitrogen', 'watershed']",,"['customers', 'environment', 'fish', 'wildlife', 'property owners']","This topic describes Hillsborough's wastewater treatment and collection system. It highlights the release of treated wastewater into the Eno River, strict state requirements due to the Upper Neuse River Basin and Falls Lake Rules (Stage 1 met in 2014, Stage 2 expected 2036), and successful reduction of nitrogen and phosphorus discharge. It details the treatment process, water quality testing (over 220 substances), wastewater plant operations, pump station maintenance, responsibilities for sewer line blockages, preventative maintenance (hydraulic cleaning, smoke testing), and infrastructure protection programs (Fats, Oils, and Grease, No Wipes in the Pipes).",3
Hillsborough,39,"building permits, inspections, and local ordinances","['sewer', 'availability', 'specifications', 'utilities', 'code', 'ordinances', 'extensions', 'developer', 'connection', 'engineer']",,"['Developers', 'Real Estate Agents', 'Property Seekers', 'residential building permit applicants', 'Engineers', 'Utility Contractors']","This topic provides guidance for developers, real estate agents, property seekers, engineers, and utility contractors regarding water and sewer availability, utility extensions, and connections in Hillsborough. It refers to the Code of Ordinances for utilities and sanitary sewer use, planning requirements, and fees for new connections and system development (charged per bedroom for residential permits). It also lists documents like developer/engineer checklists, fee schedules, and technical specifications.",3
Hillsborough,40,"town governance, human resources, and board appointments","['vehicle', 'operating', 'employees', 'wireless', 'phones', 'driving', 'electronic', 'communication', 'cell', 'devices']",,"['Police Department employees', 'all employees operating town-owned vehicles', 'public']","This policy establishes rules for Police Department employees regarding the use of electronic wireless communication devices while operating town-owned vehicles. It encourages stopping vehicles for device use, prohibits critical information communication via text/email to driving employees, and outlines specific prohibitions while driving (e.g., non-hands-free cell phone use for non-work purposes, viewing videos, engaging in distracting activities). Exceptions for emergency situations and specific police equipment are noted.",3
Hillsborough,41,"town governance, human resources, and board appointments","['meetings', 'day', 'week', '17', 'bulk', '00', 'board', '29', 'pm', '2026']",,"['community members', 'public', 'board members', 'commissioners', 'town staff']","This topic provides a calendar of events and meetings for Hillsborough, including Bulk Items Collection Week, various board meetings (Board of Adjustment, Board of Commissioners, Historic District Commission, Parks and Recreation Board, Planning Board, Tree Board, Tourism Board, Tourism Development Authority), and town office closures (e.g., Memorial Day, Independence Day). It also mentions a Gold Park Pollinator Garden Workday and a public event ""Together, We Are America"".",3
Hillsborough,42,job creation and business support,"['business', 'occupation', 'checklist', 'starting', 'home', 'zoning', 'permits', 'economic', 'permit', 'compliance']",,"['business owners', 'developers', 'entrepreneurs', 'home-based business operators', 'Orange County Economic Development Office', 'Orange County Building Inspections Division', 'Orange County Fire Marshal Division']","This topic outlines the checklist and steps for starting, expanding, or relocating a business in Hillsborough. It covers determining zoning, selecting sites with economic development staff assistance, pre-development meetings (covering ADA compliance, building codes, health department requirements, parking, fire access), obtaining various permits (change of use, home occupation, new construction, signs), and coordinating with Orange County for inspections. It also details specific town services and permits related to business operation, including those for home occupations and the process for obtaining a business license for certain activities.",3
Hillsborough,43,"parks, recreation, and public art","['tree', 'trees', 'arbor', 'invasive', 'plants', 'removal', 'arborist', 'program', 'planting', 'knotweed']",,"['Hillsborough Tree Board', 'community members', 'homeowners and other tree owners', 'public spaces', 'environment']","This topic describes Hillsborough's initiatives related to trees and invasive plant management. It highlights the weekly invasive species removal team led by the Hillsborough Tree Board, the town's participation in the Arbor Day Foundation's Tree City USA program since 2003 (requiring a tree board, care ordinance, and community forestry budget), and educational resources from Trees Are Good website. The Tree Board is responsible for trees/landscaping in parks, town property, and contributes to tree planting requirements in private development, and observes Arbor Day.",3
Hillsborough,44,"waste management, stormwater, and infrastructure","['rinse', 'washing', 'dishes', 'save', 'sink', 'running', 'bottle', 'dishwasher', 'filled', 'shower']",,"['residents', 'customers', 'homeowners', 'community members']","This topic provides water conservation tips for Hillsborough residents across various areas. In the kitchen and laundry, it advises reducing running water, rinsing vegetables in a pan, defrosting in microwave/refrigerator, using garbage disposal less, composting, filling sinks for handwashing dishes, using minimal detergent, and running full loads for dishwashers/washing machines, and choosing high-efficiency appliances. In the bathroom, it suggests turning off faucets, rinsing razors in filled sinks, shortening showers, taking shallow baths, installing low-flow fixtures, flushing only when necessary, and using a filled plastic bottle in toilet tanks. It also includes outside tips like reducing watering, avoiding vehicle washing at home, and delaying water-intensive projects, and dining out tips for bottled water during restrictions.",3
Hillsborough,45,"town governance, human resources, and board appointments","['adjustment', 'leak', 'meter', 'customer', 'adjustments', 'billing', 'leaks', 'period', 'request', 'customers']",,"['Customers', 'property owners']","This topic details Hillsborough's policies regarding utility bill adjustments, particularly for water line leaks and malfunctioning water meters. Customers can request a leak adjustment within two months of the billing date, provided documentation of the leak or repair receipts. One leak adjustment is allowed per 12-month period, with the charge based on a six-month average. For malfunctioning meters, customers are charged based on a six-month average, and a meter flow test can be requested (with a fee if the meter passes). It also covers general billing information, payment methods, service disconnection, and online account management.",3
