primary_category,Carrboro,Chapel Hill,Hillsborough,Mebane,Orange County
affordable housing and zoning,2,6,0,0,5
"building permits, inspections, and local ordinances",0,7,6,3,1
climate action and clean energy,4,2,1,0,1
job creation and business support,1,1,3,0,0
"parks, recreation, and public art",7,7,7,8,2
"police, fire, and emergency response",6,3,16,6,5
public transportation and roads,10,3,5,1,1
"town governance, human resources, and board appointments",23,20,20,5,15
uncategorized initiatives,3,1,1,1,19
"waste management, stormwater, and infrastructure",2,6,23,7,2
