primary_category,Carrboro,Chapel Hill,Hillsborough,Mebane,Orange County
"town governance, human resources, and board appointments",39.66,35.71,24.39,16.13,29.41
"waste management, stormwater, and infrastructure",3.45,10.71,28.05,22.58,3.92
"police, fire, and emergency response",10.34,5.36,19.51,19.35,9.8
"parks, recreation, and public art",12.07,12.5,8.54,25.81,3.92
uncategorized initiatives,5.17,1.79,1.22,3.23,37.25
public transportation and roads,17.24,5.36,6.1,3.23,1.96
"building permits, inspections, and local ordinances",0.0,12.5,7.32,9.68,1.96
affordable housing and zoning,3.45,10.71,0.0,0.0,9.8
climate action and clean energy,6.9,3.57,1.22,0.0,1.96
job creation and business support,1.72,1.79,3.66,0.0,0.0
