primary_category,total_initiatives,avg_related_docs,total_related_docs
"police, fire, and emergency response",36,3.08,111
"waste management, stormwater, and infrastructure",40,3.08,123
"building permits, inspections, and local ordinances",17,3.06,52
public transportation and roads,20,3.05,61
affordable housing and zoning,13,3.0,39
climate action and clean energy,8,3.0,24
job creation and business support,5,3.0,15
"parks, recreation, and public art",31,3.0,93
"town governance, human resources, and board appointments",83,3.0,249
uncategorized initiatives,25,3.0,75
