impacted_stakeholders,Carrboro,Chapel Hill,Hillsborough,Mebane,Orange County
residents,39,26,24,10,6
community members,14,9,16,5,13
property owners,2,14,18,1,1
town staff,8,14,6,0,0
developers,1,11,8,4,1
businesses,6,5,9,2,2
town council,10,13,0,0,0
public,0,8,11,1,0
children,2,3,2,3,1
homeowners,1,3,4,0,2
customers,1,0,8,1,0
contractors,0,3,4,3,0
orange county animal services,0,0,1,0,8
citizens,1,1,2,5,0
orange county residents,0,0,0,0,9
pet owners,0,0,0,0,8
drivers,6,0,2,0,0
parents,1,3,0,3,1
town departments,3,4,0,0,0
local businesses,5,1,1,0,0
families,0,0,0,4,3
volunteers,0,2,0,0,5
hillsborough residents,0,0,7,0,0
community,0,1,4,1,0
pedestrians,4,0,1,1,0
community organizations,3,2,1,0,0
town residents,2,0,4,0,0
town manager,2,3,1,0,0
donors,0,2,0,0,4
youth,2,0,0,1,3
city of mebane,0,0,0,5,0
police officers,0,0,5,0,0
pets,0,0,1,0,4
mayor,0,1,4,0,0
cyclists,4,0,0,1,0
students,3,1,0,0,1
event organizers,0,1,3,0,0
builders,0,3,0,0,1
town clerk,0,4,0,0,0
board of county commissioners,0,0,0,0,4
state,0,0,4,0,0
board members,1,1,2,0,0
commuters,2,2,0,0,0
environment,1,0,2,0,1
officers,0,0,4,0,0
police department,2,0,2,0,0
real estate agents,0,2,2,0,0
orange county,1,0,2,1,0
engineers,0,1,1,1,0
wildlife,0,0,3,0,0
local organizations,1,0,2,0,0
general public,0,0,0,0,3
entrepreneurs,1,1,1,0,0
taxpayers,1,2,0,0,0
patrons,3,0,0,0,0
emergency services,3,0,0,0,0
animal control,0,0,1,0,2
downtown businesses,2,0,0,1,0
town government,0,0,3,0,0
command staff,0,0,3,0,0
tourism development authority,1,0,2,0,0
supervisors,0,1,2,0,0
town council members,1,1,1,0,0
environmental protection agency,0,0,3,0,0
park users,0,1,2,0,0
older adults,0,0,0,0,3
town water customers,0,0,3,0,0
mebane residents,0,0,0,3,0
applicants,0,3,0,0,0
visitors,2,0,1,0,0
firefighters,2,0,0,1,0
dog owners,0,0,1,1,1
plumbers,0,0,3,0,0
council members,0,3,0,0,0
public works department,1,0,0,2,0
north carolina department of transportation,0,0,3,0,0
public works division,0,0,3,0,0
bicyclists,2,0,1,0,0
seniors,0,0,0,2,1
youth athletes,0,1,0,1,0
surveyors,0,2,0,0,0
schools,2,0,0,0,0
police chief,0,0,2,0,0
all residents,2,0,0,0,0
school classes,2,0,0,0,0
community groups,1,0,1,0,0
guests,0,1,0,1,0
property seekers,0,0,2,0,0
district attorney,0,0,2,0,0
communities,1,1,0,0,0
adults,0,0,0,1,1
emergency workers,0,0,2,0,0
homeowners/residents,0,0,0,2,0
state bureau of investigation,0,0,2,0,0
kittens,0,0,0,0,2
parks and recreation users,0,2,0,0,0
individuals,0,1,0,0,1
participants,1,0,0,1,0
homeowners associations,0,0,2,0,0
website users,0,0,0,0,2
county staff,0,0,0,0,2
non-residents,0,0,1,1,0
stormwater management division,0,2,0,0,0
emergency medical services,1,0,1,0,0
council,0,2,0,0,0
staff,2,0,0,0,0
communication and engagement department,2,0,0,0,0
public space and sustainability division,0,0,2,0,0
commissioners,0,0,2,0,0
neighbors,0,0,2,0,0
low-income families,0,0,0,0,2
adopters,0,0,0,0,2
orange county government,1,0,0,0,1
finance department,1,0,0,1,0
board of adjustment members,1,0,0,1,0
public works staff,0,1,1,0,0
orange county department on aging,0,0,0,0,2
utilities department staff,0,0,2,0,0
public works,1,0,1,0,0
utility contractors,0,0,2,0,0
utility customers,0,0,2,0,0
medical personnel,0,0,2,0,0
orange county board of commissioners,0,1,1,0,0
artists,1,1,0,0,0
public utilities department,0,0,0,2,0
orange county animal services (ocas),0,0,0,0,2
foster parents,0,0,0,0,2
public transit users,1,1,0,0,0
applicants for advisory boards/commissions,0,2,0,0,0
recreation and parks advocacy commission members,0,0,0,2,0
town attorney,0,2,0,0,0
town leadership,1,1,0,0,0
town employees,0,1,1,0,0
american red cross,1,0,0,0,1
local government,2,0,0,0,0
water and sewer customers,0,0,2,0,0
town manager patrice toney,2,0,0,0,0
town of carrboro,2,0,0,0,0
hillsborough board of commissioners,0,0,2,0,0
hillsborough tree board,0,0,2,0,0
hillsborough water customers,0,0,2,0,0
animal owners,0,0,1,0,1
animal services,0,0,0,0,2
organizations,0,1,0,0,1
tourism board,0,0,2,0,0
free-roaming cats,0,0,0,0,2
city council,0,0,0,2,0
poets,1,0,0,0,0
