Topic,Count,Name,Representation,Representative_Docs,Municipality
0,218,0_mebane_city_community_water,"['mebane', 'city', 'community', 'water', 'service', 'parks', 'public', 'recreation', 'department', 'park']","['GIS and Mapping Projects Training Information Technology Staff Public Wifi IT Help Desk Contact IT Back General Map Alamance County GIS Garbage & Recycling Pick-Up Citizen Report Application Parks Application Development Map Mebane 2045 Future Land Use Map Back Cyber Security Kirk Montgomery IT Director (984) 290-2032 Contact us 106 E Washington St, Mebane, NC 27302 Lumos Fiber Installation: Progress Update for Mebane Connectivity Project Status: Installation complete — all listed sites are online. Last updated: May 21, 2026 The Lumos Fiber installation across City of Mebane facilities is complete. All listed sites are now live on high-speed fiber. This page will be updated as new sites are added or as service expands at existing locations. Sites Now Online Parks and Recreation Mebane Community Park Giles and McKinley Street Pocket Park Holt Street Park Cates Farm Park, including the ADA-accessible play area and trail network Lake Michael Park — connectivity ready for facility and staff use; the park remains closed to the public during the ongoing dam and spillway project Cultural Mebane Historical Museum, home of the Mebane Train Display City Operations City Hall Public Works Inspections Water Resource Recovery Facility (WRRF) Public Safety City administrative and public safety facilities, including police and fire stations across the district What This Means This buildout improves day-to-day operations for city services, supports public Wi-Fi at park locations as they reopen, and lays the groundwork for future expansion across Mebane. Project History May 21, 2026 — All sites confirmed online. Project complete. Questions For more information about the project, contact the City of Mebane. Thanks to residents and crews for the patience during installation.', ""Parks, Facilities, and Trails Athletics Community events Online accounts and registration Recreation and Parks Advocacy Commission Sports Hall of Fame Mebane Bicycle and Pedestrian Transportation Plan 2015 Mebane on the Move Mebane Historical Museum Recreation and Parks Comprehensive Master Plan - 2024 Together, Moving Mebane Forward Active Alamance App Parks Application Recreation & Parks Sponsorship Opportunities Zoom and cell phone backgrounds Frequently asked questions Leader directory Senior Programming The Mebane Train Display Back Mebane Community Park Mebane Arts and Community Center Lake Michael Park Giles and McKinley Street Pocket Park Cates Farm Park Mebane Baseball / Softball Complex Mebane Soccer Complex Walker Athletic Complex Mebane Recreation Center (Old Rec) Holt Street Park 1st Street Pocket Park 5th Street Pocket Park Trails & Greenway Back Cone Health Community Fitness Court Back Youth Athletic Programs Adult athletic programs Sports Camps Youth safety and wellbeing Dick’s Sporting Goods Special Offer Back Baseball Basketball Lacrosse Flag Football Football Grow Golf Now Softball T-ball Tennis Volleyball MYSA Soccer Athletic Program Scholarships Back Pickleball Tennis Back Basketball Camp Football Camp Mebane-Alamance Rams Lacrosse Camp Tennis Camp Volleyball Camp Mill Creek Jr. Golf Camp MYSA Soccer Camp Back Parent Code of Ethics Back Movies in the Park Downtown Mebane Eggstravaganza and Bunny Hop Downtown Mebane Farmers Market Mebane’s Musical Chairs Juneteenth Freedom Day Community Celebration 4th of July Independence Day Celebration Downtown Mebane Halloween Spooktacular Letters to Santa It's Snowing in Mebane Mebane Christmas Parade Mebane Activity Challenge Contact Recreation and Parks Front Desk (919) 563-3629 ; Athletics Weather Line - Press 9 Contact us 633 Corregidor Street Mebane, NC 27302 Monday-Friday: 8 am to 5 pm Mission It is the mission of the Mebane Recreation and Parks Department to provide exceptional parks and facilities, feasible, educational, and diverse programs, and to enhance the quality of life for the citizens of “positively charming” Mebane. Vision To deliver “excellence” while providing memorable recreation and parks experiences to our community. What we do Maintain over 6 parks which are 300 acres of parkland ( map of city facilities ) Offer recreation programs for youth and adults Organize annual special events Offer facilities, park spaces, and shelters for rental Create partnerships with local businesses and organizations Help our citizens be happy and healthy Awards Best cities for fit lifestyles 2020 Healthy Infrastructure Award 2020 Register for programs or rent facilities"", ""Recreation and Parks Parks, Facilities, and Trails Athletics Community events Online accounts and registration Recreation and Parks Advocacy Commission Sports Hall of Fame Mebane Bicycle and Pedestrian Transportation Plan 2015 Mebane on the Move Mebane Historical Museum Recreation and Parks Comprehensive Master Plan - 2024 Together, Moving Mebane Forward Active Alamance App Parks Application Recreation & Parks Sponsorship Opportunities Zoom and cell phone backgrounds Frequently asked questions Leader directory Senior Programming The Mebane Train Display Back Mebane Community Park Mebane Arts and Community Center Lake Michael Park Giles and McKinley Street Pocket Park Cates Farm Park Mebane Baseball / Softball Complex Mebane Soccer Complex Walker Athletic Complex Mebane Recreation Center (Old Rec) Holt Street Park 1st Street Pocket Park 5th Street Pocket Park Trails & Greenway Back Cone Health Community Fitness Court Back Youth Athletic Programs Adult athletic programs Sports Camps Youth safety and wellbeing Dick’s Sporting Goods Special Offer Back Baseball Basketball Lacrosse Flag Football Football Grow Golf Now Softball T-ball Tennis Volleyball MYSA Soccer Athletic Program Scholarships Back Pickleball Tennis Back Basketball Camp Football Camp Mebane-Alamance Rams Lacrosse Camp Tennis Camp Volleyball Camp Mill Creek Jr. Golf Camp MYSA Soccer Camp Back Parent Code of Ethics Back Movies in the Park Downtown Mebane Eggstravaganza and Bunny Hop Downtown Mebane Farmers Market Mebane’s Musical Chairs Juneteenth Freedom Day Community Celebration 4th of July Independence Day Celebration Downtown Mebane Halloween Spooktacular Letters to Santa It's Snowing in Mebane Mebane Christmas Parade Mebane Activity Challenge Contact Recreation and Parks Front Desk (919) 563-3629 ; Athletics Weather Line - Press 9 Contact us 633 Corregidor Street Mebane, NC 27302 Monday-Friday: 8 am to 5 pm Mission It is the mission of the Mebane Recreation and Parks Department to provide exceptional parks and facilities, feasible, educational, and diverse programs, and to enhance the quality of life for the citizens of “positively charming” Mebane. Vision To deliver “excellence” while providing memorable recreation and parks experiences to our community. What we do Maintain over 6 parks which are 300 acres of parkland ( map of city facilities ) Offer recreation programs for youth and adults Organize annual special events Offer facilities, park spaces, and shelters for rental Create partnerships with local businesses and organizations Help our citizens be happy and healthy Awards Best cities for fit lifestyles 2020 Healthy Infrastructure Award 2020 Register for programs or rent facilities""]",Mebane
1,32,1_annual_report_work_plan,"['annual', 'report', 'work', 'plan', 'posted', 'download', '2026', '2023', 'bpac', 'october']","['2025 Annual Report and 2026 Work Plan Annual Report and Work Plan BPAC Posted on June 1, 2026 Download', 'Annual Reports and Work Plans 2025 Annual Report and 2026 Work Plan Annual Report and Work Plan BPAC Posted on June 1, 2026 Download 2024 Annual Report and 2025 Work Plan Annual Report and Work Plan Posted on February 13, 2026 Download 2023 Annual Report and 2024 Work Plan Annual Report and Work Plan Posted on March 27, 2024 Download 2022 Annual Report and 2023 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2021 Annual Report and 2022 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2020 Annual Report and 2021 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2019 Annual Report and 2020 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2018 Annual Report and 2019 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download', '2025 Annual Report and 2026 Work Plan Annual Report and Work Plan BPAC Posted on June 1, 2026 Download 2024 Annual Report and 2025 Work Plan Annual Report and Work Plan Posted on February 13, 2026 Download 2023 Annual Report and 2024 Work Plan Annual Report and Work Plan Posted on March 27, 2024 Download 2022 Annual Report and 2023 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2021 Annual Report and 2022 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2020 Annual Report and 2021 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2019 Annual Report and 2020 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download 2018 Annual Report and 2019 Work Plan Annual Report and Work Plan BPAC Posted on October 9, 2023 Download']",Mebane
2,24,2_board_meetings_planning_commission,"['board', 'meetings', 'planning', 'commission', 'advisory', 'parks', 'recreation', 'advocacy', 'pedestrian', 'meeting']","['Menu Planning Board Board of Adjustment Racial Equity Advisory Bicycle and Pedestrian Advisory Commission Recreation and Parks Advocacy Commission Back Planning Board Meetings Back 2021 Planning Board Meetings 2022 Planning Board Meetings 2023 Planning Board Meetings 2024 Planning Board Meetings 2025 Planning Board Meetings Back REAC Meetings Back Bicycle and Pedestrian Advisory Commission Meetings Reports & Work Plans Back Recreation and Parks Advocacy Meetings Planning Board Meetings 2026 meetings Name Content Planning Board Meeting: June 8, 2026 (Canceled) Agenda Planning Board Meeting: May 11, 2026 Agenda Packet Video Planning Board Meeting: April 13, 2026 Agenda Packet Minutes Video Planning Board Meeting: March 16, 2026 Agenda Packet Minutes Video Planning Board Meeting: February 9, 2026 Agenda Packet Minutes Video Planning Board Meeting: January 12, 2026 (Canceled) Agenda', 'Planning Board Board of Adjustment Racial Equity Advisory Bicycle and Pedestrian Advisory Commission Recreation and Parks Advocacy Commission Back Planning Board Meetings Back 2021 Planning Board Meetings 2022 Planning Board Meetings 2023 Planning Board Meetings 2024 Planning Board Meetings 2025 Planning Board Meetings Back REAC Meetings Back Bicycle and Pedestrian Advisory Commission Meetings Reports & Work Plans Back Recreation and Parks Advocacy Meetings City Council Boards and Commissions Application', 'Planning Board Board of Adjustment Racial Equity Advisory Bicycle and Pedestrian Advisory Commission Recreation and Parks Advocacy Commission Back Planning Board Meetings Back 2021 Planning Board Meetings 2022 Planning Board Meetings 2023 Planning Board Meetings 2024 Planning Board Meetings 2025 Planning Board Meetings Back REAC Meetings Back Bicycle and Pedestrian Advisory Commission Meetings Reports & Work Plans Back Recreation and Parks Advocacy Meetings']",Mebane
-1,97,-1_yr_final_implementation_aging,"['yr', 'final', 'implementation', 'aging', 'plan', 'tax', 'master', 'services', 'refund', 'toys']","['Home Government Departments A - F Aging Master Aging Plan Master Aging Plan Master Aging Plan & Aging Initiatives The Master Aging Plan (MAP) is a five year plan that provides comprehensive and coordinated delivery of community services and supports that foster lifelong community engagement and well-being to older adults in Orange County. The Department on Aging created its first MAP in 2000 and each new MAP continues to evolve to meet the needs, expectations, and contributions of a growing aging population. Click here to complete our Master Aging Plan Survey online! Read the flyer below for more details. 2022-27 2017 - 2022 2012 - 2017 2022-27 Master Aging Plan 2017-22 Master Aging Plan 2012-17 Master Aging Plan Yr 1 Implementation Final Yr 1 Implementation Final Yr 1 Implementation Final Yr 2 Implementation Final Yr 2 Implementation Final Yr 2 Implementation Final Yr 3 Implementation Final Yr 3 Implementation Final Yr 3 Implementation Final Yr 4 Q2 Implementation Final Yr 4 Implementation Final Yr 4 Implementation Final Yr 5 Implementation Final Yr 5 Implementation Final 2023 Senior Housing Guide 2018 Housing Report 2014 Housing Report 2025 Transportation Guide 2021 Senior Housing Guide 2025 Senior Housing Guide 2017-22 Accomplishment Highlights 2017-22 MAP Evaluation Report Back to Top', 'Home Government Departments A - F Aging Master Aging Plan Master Aging Plan Master Aging Plan & Aging Initiatives The Master Aging Plan (MAP) is a five year plan that provides comprehensive and coordinated delivery of community services and supports that foster lifelong community engagement and well-being to older adults in Orange County. The Department on Aging created its first MAP in 2000 and each new MAP continues to evolve to meet the needs, expectations, and contributions of a growing aging population. Click here to complete our Master Aging Plan Survey online! Read the flyer below for more details. 2022-27 2017 - 2022 2012 - 2017 2022-27 Master Aging Plan 2017-22 Master Aging Plan 2012-17 Master Aging Plan Yr 1 Implementation Final Yr 1 Implementation Final Yr 1 Implementation Final Yr 2 Implementation Final Yr 2 Implementation Final Yr 2 Implementation Final Yr 3 Implementation Final Yr 3 Implementation Final Yr 3 Implementation Final Yr 4 Q2 Implementation Final Yr 4 Implementation Final Yr 4 Implementation Final Yr 5 Implementation Final Yr 5 Implementation Final 2023 Senior Housing Guide 2018 Housing Report 2014 Housing Report 2025 Transportation Guide 2021 Senior Housing Guide 2025 Senior Housing Guide 2017-22 Accomplishment Highlights 2017-22 MAP Evaluation Report Back to Top Activity Calendars Register for Classes Senior Centers Registration Endless Possibilities Activity Guide Fees and Financial Assistance OCDOA Upcoming Events Podcast Orange County NC - Accessibility Severe Weather Delays & Closings Aging Well Together Radio Show Medicare Assistance VITA Tax Assistance SHARP Direct Care Worker Awards View All Links /QuickLinks.aspx', 'Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Home Government Departments A - F Aging Master Aging Plan Master Aging Plan Master Aging Plan & Aging Initiatives The Master Aging Plan (MAP) is a five year plan that provides comprehensive and coordinated delivery of community services and supports that foster lifelong community engagement and well-being to older adults in Orange County. The Department on Aging created its first MAP in 2000 and each new MAP continues to evolve to meet the needs, expectations, and contributions of a growing aging population. Click here to complete our Master Aging Plan Survey online! Read the flyer below for more details. 2022-27 2017 - 2022 2012 - 2017 2022-27 Master Aging Plan 2017-22 Master Aging Plan 2012-17 Master Aging Plan Yr 1 Implementation Final Yr 1 Implementation Final Yr 1 Implementation Final Yr 2 Implementation Final Yr 2 Implementation Final Yr 2 Implementation Final Yr 3 Implementation Final Yr 3 Implementation Final Yr 3 Implementation Final Yr 4 Q2 Implementation Final Yr 4 Implementation Final Yr 4 Implementation Final Yr 5 Implementation Final Yr 5 Implementation Final 2023 Senior Housing Guide 2018 Housing Report 2014 Housing Report 2025 Transportation Guide 2021 Senior Housing Guide 2025 Senior Housing Guide 2017-22 Accomplishment Highlights 2017-22 MAP Evaluation Report Back to Top Activity Calendars Register for Classes Senior Centers Registration Endless Possibilities Activity Guide Fees and Financial Assistance OCDOA Upcoming Events Podcast Orange County NC - Accessibility Severe Weather Delays & Closings Aging Well Together Radio Show Medicare Assistance VITA Tax Assistance SHARP Direct Care Worker Awards View All Links /QuickLinks.aspx']",Orange County
0,76,0_county_orange_government_support,"['county', 'orange', 'government', 'support', 'health', 'arts', 'services', 'department', 'fund', 'commission']","[""Home Government Departments A - F Community Relations Orange County social media Orange County social media Many Orange County departments maintain social media accounts to further their outreach efforts. Please like, follow or subscribe to these accounts to receive notifications from the county or individual departments. Facebook Pages Twitter accounts Instagram accounts YouTube Channels Facebook Pages Orange County Government Department on Aging Animal Services Arts Commission DEAPR Health Department Library Partnership to End Homelessness Recreation Sheriff Visit Chapel Hill & Orange County View All Links /QuickLinks.aspx Twitter accounts Orange County Government Arts Commission Criminal Justice Resource Department Economic Development Emergency Services Health Department Library Lost Pets Partnership to End Homelessness Sheriff's Office Solid Waste Management Tax Office Visit Chapel Hill View All Links /QuickLinks.aspx Instagram accounts Orange County Recreation Orange County Arts Commission Health Department Library Sheriff's Office Visit Chapel Hill View All Links /QuickLinks.aspx YouTube Channels Health Department Orange County Government Visit Chapel Hill/Orange County Transportation View All Links /QuickLinks.aspx"", ""Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Home Government Departments A - F Community Relations Orange County social media Orange County social media Many Orange County departments maintain social media accounts to further their outreach efforts. Please like, follow or subscribe to these accounts to receive notifications from the county or individual departments. Facebook Pages Twitter accounts Instagram accounts YouTube Channels Facebook Pages Orange County Government Department on Aging Animal Services Arts Commission DEAPR Health Department Library Partnership to End Homelessness Recreation Sheriff Visit Chapel Hill & Orange County View All Links /QuickLinks.aspx Twitter accounts Orange County Government Arts Commission Criminal Justice Resource Department Economic Development Emergency Services Health Department Library Lost Pets Partnership to End Homelessness Sheriff's Office Solid Waste Management Tax Office Visit Chapel Hill View All Links /QuickLinks.aspx Instagram accounts Orange County Recreation Orange County Arts Commission Health Department Library Sheriff's Office Visit Chapel Hill View All Links /QuickLinks.aspx YouTube Channels Health Department Orange County Government Visit Chapel Hill/Orange County Transportation View All Links /QuickLinks.aspx"", 'Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Home Government Departments A - F Community Relations Community Giving Fund Tropical Storm Chantal Donations Tropical Storm Chantal Donations Help Orange County, Carrboro, Chapel Hill, and Hillsborough Recover Tropical Storm Chantal left a significant mark on our community. The Tropical Storm Chantal community giving fund is dedicated to supporting local recovery efforts across Orange County and the towns of Carrboro, Chapel Hill, and Hillsborough. This fund is a collaborative effort between the county and the towns to ensure donated funds are prioritized for critical needs and equitably distributed across the county. Your contribution will provide essential resources and services in the following areas: General Recovery Fund Your donation will be allocated where it’s most needed across all five recovery areas. If you want to donate to a specific area outside of the five listed below, place it in the ""description"" box during the payment process. Economic Provide support to the recovery of small businesses Drive local economic growth Strengthen and support the local workforce Housing Assist displaced survivors with safe and temporary housing Rehabilitate, improve safety, and preserve housing for homeowners Ensure continuation of and streamlined access to existing housing support programs, including emergency housing assistance Health and Human Services Promote access to mental and behavioral health services, including support for impacted children Provide direct individual assistance to survivors (clothing, food, medications, and other personal items) Provide support for medical services including replacement of medication, assistive devices, and support for residents with disabilities Natural and Cultural Resources Preserve and restore natural resources Provide support to cultural, recreational, and arts programs Infrastructure Preserve and restore critical community infrastructure such as municipal water and wastewater systems Support with debris and waste management services Orange County Arts Commission The flood-damaged Eno Arts Mill, the home of the Orange County Arts Commission, needs financial support to rebuild: artsorange.org/give Donations by Mail If you prefer to donate via mail, please write the check to Orange County Government . Mail to: Orange County Finance PO Box 8181 Hillsborough, NC 27278 ATTN: Accounting']",Orange County
1,41,1_care_direct_aging_worker,"['care', 'direct', 'aging', 'worker', 'awards', 'award', 'sharp', 'transportation', 'clients', 'nomination']","['Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Home Government Departments A - F Aging Master Aging Plan SHARP Direct Care Worker Awards SHARP Direct Care Worker Awards The Orange County Department on Aging has partnered with the community group, Senior Health Advocacy and Resource Partners of Orange County (SHARP), to recognize Direct Care Workers serving clients in Orange County, NC. Direct care workers impact their client’s lives on a daily basis and make a difference in our community. Each year six awards will be presented one in each of five different categories and one person will be chosen as ""Direct Care Worker of the Year."" Visit the links to the left to see previous award winners. Scroll down to view the 2025 SHARP Awards Nomination Form. Categories & Special Criteria Awards will be given in five categories with special attention to the criteria as noted: Client Impact - Frequently recognized or praised for their efforts that make an impact on the quality of their clients lives. Going the Extra Mile - Passionate about providing extraordinary care to their clients in ways that exceed expectations. Leadership - Serves as a role model and demonstrates teamwork and willingness to help other direct care workers and staff. Longevity - Has performed work as a caregiver each year for the last 10 or more years and plans to continue working in the field. Rising Star - Has been a caregiver for less than three years and demonstrates enormous promise in the profession. If selected as the Award Recipient the individual agrees to be represented in photographs and videos, as well as included in any and all public relations ads and media campaigns. Eligibility To be eligible, direct care workers must have served clients in Orange County within the past year. Each person may be nominated in two categories. Each nominee must: Provide direct care to clients as a primary function of their job. Have at least six consecutive months of service in the past year. Maintain and project a professional demeanor and exhibit dependability. Actively demonstrate pride in being a direct care worker and selflessly serve others in the course of their duties. Selection Process The SHARP Award winners will be selected by representatives from Project EngAGE. Project EngAGE is a senior leadership program sponsored by Orange County Department on Aging. The SHARP Committee is comprised of professionals from senior care, healthcare and caregiving support organizations from the Greater Orange County community. Nomination Form The deadline to submit nominations is October 10, 2025. To submit the Direct Care Worker Nomination Form online, please click here . To download the Direct Care Worker Nomination Form, please click here . Please email completed nomination forms to kmcmillan@orangecountync.gov or return in-person at 2551 Homestead Road, Chapel Hill, NC 27516. Awards Ceremony A recognition ceremony will be held for award winners on Thursday, November 13 at the Seymour Center in Chapel Hill. For more information about the Direct Care Worker Awards, email Kendall McMillan or call (919) 245-4278. Back to Top Activity Calendars Register for Classes Senior Centers Registration Endless Possibilities Activity Guide Fees and Financial Assistance OCDOA Upcoming Events Podcast Orange County NC - Accessibility Severe Weather Delays & Closings Aging Well Together Radio Show Medicare Assistance VITA Tax Assistance SHARP Direct Care Worker Awards View All Links /QuickLinks.aspx', 'Home Government Departments A - F Aging Master Aging Plan SHARP Direct Care Worker Awards SHARP Direct Care Worker Awards The Orange County Department on Aging has partnered with the community group, Senior Health Advocacy and Resource Partners of Orange County (SHARP), to recognize Direct Care Workers serving clients in Orange County, NC. Direct care workers impact their client’s lives on a daily basis and make a difference in our community. Each year six awards will be presented one in each of five different categories and one person will be chosen as ""Direct Care Worker of the Year."" Visit the links to the left to see previous award winners. Scroll down to view the 2025 SHARP Awards Nomination Form. Categories & Special Criteria Awards will be given in five categories with special attention to the criteria as noted: Client Impact - Frequently recognized or praised for their efforts that make an impact on the quality of their clients lives. Going the Extra Mile - Passionate about providing extraordinary care to their clients in ways that exceed expectations. Leadership - Serves as a role model and demonstrates teamwork and willingness to help other direct care workers and staff. Longevity - Has performed work as a caregiver each year for the last 10 or more years and plans to continue working in the field. Rising Star - Has been a caregiver for less than three years and demonstrates enormous promise in the profession. If selected as the Award Recipient the individual agrees to be represented in photographs and videos, as well as included in any and all public relations ads and media campaigns. Eligibility To be eligible, direct care workers must have served clients in Orange County within the past year. Each person may be nominated in two categories. Each nominee must: Provide direct care to clients as a primary function of their job. Have at least six consecutive months of service in the past year. Maintain and project a professional demeanor and exhibit dependability. Actively demonstrate pride in being a direct care worker and selflessly serve others in the course of their duties. Selection Process The SHARP Award winners will be selected by representatives from Project EngAGE. Project EngAGE is a senior leadership program sponsored by Orange County Department on Aging. The SHARP Committee is comprised of professionals from senior care, healthcare and caregiving support organizations from the Greater Orange County community. Nomination Form The deadline to submit nominations is October 10, 2025. To submit the Direct Care Worker Nomination Form online, please click here . To download the Direct Care Worker Nomination Form, please click here . Please email completed nomination forms to kmcmillan@orangecountync.gov or return in-person at 2551 Homestead Road, Chapel Hill, NC 27516. Awards Ceremony A recognition ceremony will be held for award winners on Thursday, November 13 at the Seymour Center in Chapel Hill. For more information about the Direct Care Worker Awards, email Kendall McMillan or call (919) 245-4278. Back to Top Activity Calendars Register for Classes Senior Centers Registration Endless Possibilities Activity Guide Fees and Financial Assistance OCDOA Upcoming Events Podcast Orange County NC - Accessibility Severe Weather Delays & Closings Aging Well Together Radio Show Medicare Assistance VITA Tax Assistance SHARP Direct Care Worker Awards View All Links /QuickLinks.aspx', 'Home Government Departments A - F Aging Master Aging Plan SHARP Direct Care Worker Awards SHARP Direct Care Worker Awards The Orange County Department on Aging has partnered with the community group, Senior Health Advocacy and Resource Partners of Orange County (SHARP), to recognize Direct Care Workers serving clients in Orange County, NC. Direct care workers impact their client’s lives on a daily basis and make a difference in our community. Each year six awards will be presented one in each of five different categories and one person will be chosen as ""Direct Care Worker of the Year."" Visit the links to the left to see previous award winners. Scroll down to view the 2025 SHARP Awards Nomination Form. Categories & Special Criteria Awards will be given in five categories with special attention to the criteria as noted: Client Impact - Frequently recognized or praised for their efforts that make an impact on the quality of their clients lives. Going the Extra Mile - Passionate about providing extraordinary care to their clients in ways that exceed expectations. Leadership - Serves as a role model and demonstrates teamwork and willingness to help other direct care workers and staff. Longevity - Has performed work as a caregiver each year for the last 10 or more years and plans to continue working in the field. Rising Star - Has been a caregiver for less than three years and demonstrates enormous promise in the profession. If selected as the Award Recipient the individual agrees to be represented in photographs and videos, as well as included in any and all public relations ads and media campaigns. Eligibility To be eligible, direct care workers must have served clients in Orange County within the past year. Each person may be nominated in two categories. Each nominee must: Provide direct care to clients as a primary function of their job. Have at least six consecutive months of service in the past year. Maintain and project a professional demeanor and exhibit dependability. Actively demonstrate pride in being a direct care worker and selflessly serve others in the course of their duties. Selection Process The SHARP Award winners will be selected by representatives from Project EngAGE. Project EngAGE is a senior leadership program sponsored by Orange County Department on Aging. The SHARP Committee is comprised of professionals from senior care, healthcare and caregiving support organizations from the Greater Orange County community. Nomination Form The deadline to submit nominations is October 10, 2025. To submit the Direct Care Worker Nomination Form online, please click here . To download the Direct Care Worker Nomination Form, please click here . Please email completed nomination forms to kmcmillan@orangecountync.gov or return in-person at 2551 Homestead Road, Chapel Hill, NC 27516. Awards Ceremony A recognition ceremony will be held for award winners on Thursday, November 13 at the Seymour Center in Chapel Hill. For more information about the Direct Care Worker Awards, email Kendall McMillan or call (919) 245-4278. Back to Top']",Orange County
2,28,2_resource_guide_community_database,"['resource', 'guide', 'community', 'database', 'search', 'list', 'organization', 'resources', 'business', 'families']","['Community Resource Guide The Orange County Community Resource Guide Database lists local services and resources for older adults and their families. Download a hard copy of the Resource Guide , updated as new resources are added. List your business or organization in the Community Resource Guide by completing the Community Resource Guide Listing Request. Search the Community Resource Guide Database. List List your business or organization in the Community Resource Guide below: Back to Top Search Search the Community Resource Guide Database below:', 'Home Government Departments A - F Aging Community Resource Guide Community Resource Guide Community Resource Guide The Orange County Community Resource Guide Database lists local services and resources for older adults and their families. Download a hard copy of the Resource Guide , updated as new resources are added. List your business or organization in the Community Resource Guide by completing the Community Resource Guide Listing Request. Search the Community Resource Guide Database. List List your business or organization in the Community Resource Guide below: Back to Top Search Search the Community Resource Guide Database below: Back to Top', 'Community Resource Guide Community Resource Guide The Orange County Community Resource Guide Database lists local services and resources for older adults and their families. Download a hard copy of the Resource Guide , updated as new resources are added. List your business or organization in the Community Resource Guide by completing the Community Resource Guide Listing Request. Search the Community Resource Guide Database. List List your business or organization in the Community Resource Guide below: Back to Top Search Search the Community Resource Guide Database below: Back to Top']",Orange County
3,25,3_sign_account_password_characters,"['sign', 'account', 'password', 'characters', 'google', 'service', 'privacy', 'identity', 'external', 'terms']","[""Sign In for NC-OrangeCounty Don't have an account? Sign up Email Password Forgot your password? Remember me Sign In Continue Or sign in using Sign in with Apple Sign in with Facebook Sign in with Google Sign in with Microsoft (PERSONAL) View Additional Options By signing in, you agree to our Terms of Service and Privacy Policy ."", 'Create a New Account for NC-OrangeCounty Your account will be managed by an external identity provider. Your password will be managed by an external identity provider. You will need to contact your IT Administrator to change your settings. Email First Name Last Name Single Sign On is enabled for your account Your password must be at least 8 characters in length and contain characters from both of the following categories: English characters (a through Z) Base 10 digits (0 through 9) Password Confirm Password This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. By signing in, you agree to our Terms of Service and Privacy Policy . Create Account Already have an account? Sign in', 'Create a New Account for NC-OrangeCounty Your account will be managed by an external identity provider. Your password will be managed by an external identity provider. You will need to contact your IT Administrator to change your settings. Email First Name Last Name Single Sign On is enabled for your account Your password must be at least 8 characters in length and contain characters from both of the following categories: English characters (a through Z) Base 10 digits (0 through 9) Password Confirm Password This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. By signing in, you agree to our Terms of Service and Privacy Policy . Create Account Already have an account? Sign in OR Use Another Service to Create an Account Sign up with Apple Sign up with Facebook Sign up with Google Sign up with Microsoft (PERSONAL)']",Orange County
4,25,4_landlord_court_time_approve,"['landlord', 'court', 'time', 'approve', 'status', 'application', 'able', 'information', 'need', 'irs']","['We work on applications with the earliest court dates. We will reach out if we need more information from you or your landlord. Call us if your eviction status changes.', 'We reach out to your landlord If we approve your request, we send papers to your landlord to be sure they will accept EHA, and to protect you from being evicted during this time.', 'We process your application We work on applications with the earliest court dates. We will reach out if we need more information from you or your landlord. Call us if your eviction status changes.']",Orange County
5,23,5_episode_listen_click_unc,"['episode', 'listen', 'click', 'unc', 'bradford', 'jacques', 'menache', 'history', 'quartet', 'robert']","['Episode 65: Carrboro Arts History with Jacques Menache Click here to listen The History of The ArtsCenter & WCOM with founder, Jacques Menache', 'Episode 96: NC Caregiving Initiatives Click here to listen Sarah Verbiest, UNC School of Social Work and Karen Appert, NC Caregiving Collaborative', 'Episode 29: Robert Bradford Quartet Click here to listen Today we had the Robert Bradford Quartet live in the studio – local musicians, and creator of the Aging Well Together theme music!']",Orange County
