program_area,initiative_count,percentage_of_total
"town governance, human resources, and board appointments",83,29.86
"waste management, stormwater, and infrastructure",40,14.39
"police, fire, and emergency response",36,12.95
"parks, recreation, and public art",31,11.15
uncategorized initiatives,25,8.99
public transportation and roads,20,7.19
"building permits, inspections, and local ordinances",17,6.12
affordable housing and zoning,13,4.68
climate action and clean energy,8,2.88
job creation and business support,5,1.8
