impacted_stakeholders,affordable housing and zoning,"building permits, inspections, and local ordinances",climate action and clean energy,job creation and business support,"parks, recreation, and public art","police, fire, and emergency response",public transportation and roads,"town governance, human resources, and board appointments",uncategorized initiatives,"waste management, stormwater, and infrastructure"
residents,5,9,2,1,9,13,10,34,6,16
community members,1,2,4,0,13,7,3,14,9,4
property owners,2,9,2,0,0,1,1,5,0,16
town staff,2,4,1,0,0,0,0,17,0,4
developers,3,10,0,1,0,0,0,4,0,7
businesses,0,5,3,1,2,4,2,3,0,4
town council,1,0,1,0,1,0,2,18,0,0
public,0,3,0,0,3,2,0,11,0,1
children,0,0,0,0,3,6,0,0,1,1
homeowners,2,1,1,0,0,3,0,0,0,3
customers,0,0,0,1,0,0,0,4,0,5
contractors,0,3,0,0,0,0,0,0,0,7
orange county animal services,0,0,0,0,1,0,0,2,6,0
citizens,0,0,0,0,1,4,0,4,0,0
orange county residents,0,0,0,0,0,2,0,7,0,0
pet owners,0,0,0,0,0,2,0,1,5,0
drivers,0,0,0,0,0,1,6,0,1,0
parents,0,0,0,0,4,2,1,0,1,0
town departments,0,0,1,0,0,0,0,6,0,0
local businesses,0,0,0,1,1,2,1,1,1,0
families,1,0,0,0,3,2,0,1,0,0
volunteers,0,0,0,0,1,0,0,2,4,0
hillsborough residents,0,0,0,0,1,1,3,1,0,1
community,0,1,0,0,1,3,0,0,0,1
pedestrians,0,0,0,0,2,0,4,0,0,0
community organizations,0,0,0,0,1,1,0,3,1,0
town residents,0,0,0,0,0,0,1,3,0,2
town manager,0,0,0,0,0,0,0,6,0,0
donors,0,0,0,0,0,0,0,3,3,0
youth,0,0,0,0,2,1,0,2,0,1
city of mebane,0,2,0,0,0,0,0,1,0,2
police officers,0,0,0,0,0,5,0,0,0,0
pets,0,0,0,0,0,1,0,0,4,0
mayor,0,0,0,0,0,0,0,4,0,1
cyclists,0,0,0,0,1,0,4,0,0,0
students,0,0,1,0,0,0,2,2,0,0
event organizers,0,2,0,0,2,0,0,0,0,0
builders,1,2,0,0,0,0,0,0,0,1
town clerk,0,0,0,0,0,0,0,4,0,0
board of county commissioners,0,0,0,0,0,0,0,4,0,0
state,0,0,0,0,0,0,3,0,0,1
board members,0,0,0,0,0,0,0,4,0,0
commuters,0,0,0,0,0,0,4,0,0,0
environment,0,0,1,0,1,0,0,0,0,2
officers,0,0,0,0,0,4,0,0,0,0
police department,0,0,0,0,0,2,1,1,0,0
real estate agents,0,3,0,0,0,0,0,0,0,1
orange county,0,0,0,0,0,0,1,2,0,1
engineers,0,1,1,0,0,0,0,0,0,1
wildlife,0,0,1,0,0,0,0,0,0,2
local organizations,0,0,1,1,0,0,0,1,0,0
general public,0,0,0,0,0,1,0,2,0,0
entrepreneurs,0,0,0,3,0,0,0,0,0,0
taxpayers,0,0,0,0,1,0,0,2,0,0
patrons,0,0,1,0,0,0,1,1,0,0
emergency services,0,0,0,0,0,1,2,0,0,0
animal control,0,0,0,0,0,2,0,0,1,0
downtown businesses,0,0,0,0,1,0,1,1,0,0
town government,0,0,0,0,0,0,1,2,0,0
command staff,0,0,0,0,0,3,0,0,0,0
tourism development authority,0,0,0,2,0,0,0,1,0,0
supervisors,0,0,0,0,0,2,0,1,0,0
town council members,0,0,0,0,0,0,0,3,0,0
environmental protection agency,0,0,0,0,0,0,0,0,0,3
park users,0,0,0,0,3,0,0,0,0,0
older adults,0,0,0,0,0,1,1,1,0,0
town water customers,0,0,0,0,0,0,0,0,0,3
mebane residents,0,0,0,0,2,0,0,0,0,1
applicants,0,3,0,0,0,0,0,0,0,0
visitors,0,0,0,0,1,1,1,0,0,0
firefighters,0,0,0,0,0,3,0,0,0,0
dog owners,0,0,0,0,2,0,0,0,1,0
plumbers,0,0,0,0,0,0,0,0,0,3
council members,0,0,0,0,0,0,0,3,0,0
public works department,0,0,0,0,0,0,1,0,0,2
north carolina department of transportation,0,0,0,0,1,0,1,0,0,1
public works division,0,0,0,0,0,0,1,0,0,2
